Period,INF_Nig,INF_US,NFA,EXPT,IMPT,BDC,COP,EXR,INT_NIG,INT_US,GXP,INT_DIFF,,,,,,,,,,Period,I&E (Quarterly),,,,
2010M1,14.39766097,2.621111389,7233600.95,"869,237.01","742,224.67",,77.62,150.84,3.72,0.06,"167,740.20",3.66,,,,,,,,,,2010Q1,#REF!,,,,
2010M2,15.64871761,2.151336358,7013858.303,"933,643.01","638,265.99",,75.06,150.36,2.33,0.11,"326,808.80",2.22,,,,,,,,,,2010Q2,#REF!,,,,
2010M3,14.81175141,2.286171439,7040591.51,"1,024,760.96","765,741.87",,80.27,150.05,1.04,0.15,"266,481.90",0.89,,,,,,,,,,2010Q3,#REF!,,,,
2010M4,15.04380883,2.206770753,6793396.406,"1,134,118.59","578,830.52",,85.29,151.09,1.20,0.16,"149,708.10",1.04,,,,,,,,,,2010Q4,#REF!,,,,
2010M5,12.91496679,2.003548929,6536744.08,"890,504.59","640,987.57",,77.54,151.47,1.63,0.16,"347,329.90",1.47,,,,,,,,,,2011Q1,#REF!,,,,
2010M6,14.09892444,1.121560594,6472113.053,"977,726.37","655,407.09",,75.79,150.00,2.29,0.12,"445,183.70",2.17,,,,,,,,,,2011Q2,#REF!,,,,
2010M7,13.00207312,1.34077848,6467345.59,"995,138.11","638,303.62",,77.18,150.00,2.94,0.16,"279,551.60",2.78,,,,,,,,,,2011Q3,#REF!,,,,
2010M8,13.70167802,1.15017754,6236617.712,"853,635.58","707,287.29",,78.67,151.85,2.63,0.16,"392,660.20",2.47,,,,,,,,,,2011Q4,#REF!,,,,
2010M9,13.64995009,1.118312247,6356916.56,"1,115,777.46","845,816.14",,79.45,154.50,6.60,0.15,"162,593.40",6.45,,,,,,,,,,2012Q1,#REF!,,,,
2010M10,13.44965385,1.166695149,6216750.265,"1,104,088.41","620,035.16",,84.42,150.85,6.75,0.13,"611,398.00",6.62,,,,,,,,,,2012Q2,#REF!,,,,
2010M11,12.76600373,1.084544777,6209586.525,"940,334.49","705,119.34",,86.71,150.90,7.58,0.14,"451,992.00",7.44,,,,,,,,,,2012Q3,#REF!,,,,
2010M12,11.81532331,1.437793022,6195146.025,"1,172,511.30","625,955.32",,92.79,152.00,7.47,0.14,"394,998.01",7.33,,,,,,,,,,2012Q4,#REF!,,,,
2011M1,12.07966546,1.700783492,6085299.008,"1,229,189.75","862,663.19",,97.96,152.20,7.49,0.15,"239,272.20",7.34,,,,,,,,,,2013Q1,#REF!,,,,
2011M2,11.09983663,2.124898173,6384252.854,"1,157,634.78","652,256.55",,106.57,153.35,7.09,0.13,"240,367.70",6.96,,,,,,,,,,2013Q2,#REF!,,,,
